Date,Name,Transaction,Event,Units
06-01-2017,JSWENERGY.BO,Close,Sell,3556
11-01-2017,SAIL.BO,Open,Buy,4157
11-01-2017,SAIL.BO,Close,Sell,4157
12-01-2017,NTPC.NS,Open,Buy,1611
12-01-2017,NTPC.NS,Close,Sell,1611
17-01-2017,GSPL.NS,Open,Buy,1615
17-01-2017,GSPL.NS,Close,Sell,1615
23-01-2017,SAIL.BO,Open,Buy,3840
23-01-2017,SAIL.BO,Close,Sell,3840
30-01-2017,BHARTIARTL.NS,Open,Buy,753
30-01-2017,BHARTIARTL.NS,Close,Sell,753
06-02-2017,LAURUSLABS.NS,Open,Buy,2226
06-02-2017,LAURUSLABS.NS,Close,Sell,2226
07-02-2017,GSPL.NS,Open,Buy,1500
07-02-2017,GSPL.NS,Close,Sell,1500
22-02-2017,RELIANCE.NS,Open,Buy,438
22-02-2017,RELIANCE.NS,Close,Sell,438
10-05-2017,BHARTIARTL.NS,Open,Buy,805
10-05-2017,BHARTIARTL.NS,Close,Sell,805
28-06-2017,GSPL.NS,Open,Buy,1599
28-06-2017,GSPL.NS,Close,Sell,1599
26-07-2017,YESBANK.NS,Open,Buy,809
26-07-2017,YESBANK.NS,Close,Sell,809
28-07-2017,JSWENERGY.BO,Open,Buy,3903
28-07-2017,JSWENERGY.BO,Close,Sell,3903
28-08-2017,JSWENERGY.BO,Open,Buy,4238
28-08-2017,JSWENERGY.BO,Close,Sell,4238
08-09-2017,JSWENERGY.BO,Open,Buy,4002
08-09-2017,JSWENERGY.BO,Close,Sell,4002
20-09-2017,BHARTIARTL.NS,Open,Buy,805
20-09-2017,BHARTIARTL.NS,Close,Sell,805
21-09-2017,DRREDDY.NS,Open,Buy,118
21-09-2017,DRREDDY.NS,Close,Sell,118
29-09-2017,TATAMOTORS.NS,Close,Buy,699
03-10-2017,TATAMOTORS.NS,Open,Sell,699
12-10-2017,BHARTIARTL.NS,Close,Buy,773
13-10-2017,BHARTIARTL.NS,Open,Sell,773
24-10-2017,SBIN.NS,Close,Buy,1140
25-10-2017,SBIN.NS,Open,Sell,1140
25-10-2017,SBIN.NS,Open,Buy,1083
25-10-2017,SBIN.NS,Close,Sell,1083
26-10-2017,SAIL.BO,Open,Buy,4959
26-10-2017,SAIL.BO,Close,Sell,4959
03-11-2017,SAIL.BO,Open,Buy,4497
03-11-2017,SAIL.BO,Close,Sell,4497
10-11-2017,SBIN.NS,Open,Buy,1176
10-11-2017,SBIN.NS,Close,Sell,1176
14-11-2017,LAURUSLABS.NS,Close,Buy,3565
15-11-2017,LAURUSLABS.NS,Open,Sell,3565
07-12-2017,BHARTIARTL.NS,Open,Buy,844
07-12-2017,BHARTIARTL.NS,Close,Sell,844
11-12-2017,DRREDDY.NS,Close,Buy,172
12-12-2017,DRREDDY.NS,Open,Sell,172
22-12-2017,GSPL.NS,Open,Buy,1845
22-12-2017,GSPL.NS,Close,Sell,1845
05-02-2018,BHARTIARTL.NS,Open,Buy,1009
05-02-2018,BHARTIARTL.NS,Close,Sell,1009
09-02-2018,SAIL.BO,Open,Buy,4538
09-02-2018,SAIL.BO,Close,Sell,4538
20-03-2018,SAIL.BO,Open,Buy,5931
20-03-2018,SAIL.BO,Close,Sell,5931
26-03-2018,YESBANK.NS,Open,Buy,1416
26-03-2018,YESBANK.NS,Close,Sell,1416
03-04-2018,JSWENERGY.BO,Open,Buy,5444
03-04-2018,JSWENERGY.BO,Close,Sell,5444
26-04-2018,YESBANK.NS,Open,Buy,1250
26-04-2018,YESBANK.NS,Close,Sell,1250
22-05-2018,DRREDDY.NS,Open,Buy,220
22-05-2018,DRREDDY.NS,Close,Sell,220
28-05-2018,JSWENERGY.BO,Open,Buy,5779
28-05-2018,JSWENERGY.BO,Close,Sell,5779
30-05-2018,JSWENERGY.BO,Open,Buy,5616
30-05-2018,JSWENERGY.BO,Close,Sell,5616
07-06-2018,SAIL.BO,Open,Buy,5585
07-06-2018,SAIL.BO,Close,Sell,5585
08-06-2018,GSPL.NS,Open,Buy,2457
08-06-2018,GSPL.NS,Close,Sell,2457
30-07-2018,BHARTIARTL.NS,Open,Buy,1349
30-07-2018,BHARTIARTL.NS,Close,Sell,1349
01-08-2018,TATAMOTORS.NS,Open,Buy,1804
01-08-2018,TATAMOTORS.NS,Close,Sell,1804
24-08-2018,JSWSTEEL.NS,Open,Buy,1352
24-08-2018,JSWSTEEL.NS,Close,Sell,1352
29-08-2018,JSWSTEEL.NS,Open,Buy,1227
29-08-2018,JSWSTEEL.NS,Close,Sell,1227
06-09-2018,GSPL.NS,Open,Buy,2521
06-09-2018,GSPL.NS,Close,Sell,2521
01-10-2018,YESBANK.NS,Open,Buy,2600
01-10-2018,YESBANK.NS,Close,Sell,2600
08-10-2018,RELIANCE.NS,Open,Buy,477
08-10-2018,RELIANCE.NS,Close,Sell,477
10-10-2018,SAIL.BO,Open,Buy,7936
10-10-2018,SAIL.BO,Close,Sell,7936
11-10-2018,YESBANK.NS,Open,Buy,2270
11-10-2018,YESBANK.NS,Close,Sell,2270
24-10-2018,BHARTIARTL.NS,Open,Buy,1945
24-10-2018,BHARTIARTL.NS,Close,Sell,1945
29-10-2018,SBIN.NS,Open,Buy,2144
29-10-2018,SBIN.NS,Close,Sell,2144
01-11-2018,YESBANK.NS,Open,Buy,2842
01-11-2018,YESBANK.NS,Close,Sell,2842
09-11-2018,YESBANK.NS,Open,Buy,2574
09-11-2018,YESBANK.NS,Close,Sell,2574
16-11-2018,BHARTIARTL.NS,Open,Buy,2004
16-11-2018,BHARTIARTL.NS,Close,Sell,2004
20-11-2018,DRREDDY.NS,Close,Buy,238
21-11-2018,DRREDDY.NS,Open,Sell,238
11-12-2018,YESBANK.NS,Open,Buy,3586
11-12-2018,YESBANK.NS,Close,Sell,3586
28-12-2018,SAIL.BO,Open,Buy,11685
28-12-2018,SAIL.BO,Close,Sell,11685
14-01-2019,YESBANK.NS,Open,Buy,3291
14-01-2019,YESBANK.NS,Close,Sell,3291
24-01-2019,YESBANK.NS,Open,Buy,3069
24-01-2019,YESBANK.NS,Close,Sell,3069
12-02-2019,YESBANK.NS,Close,Buy,3638
14-02-2019,YESBANK.NS,Open,Sell,3638
14-02-2019,YESBANK.NS,Open,Buy,3456
14-02-2019,YESBANK.NS,Close,Sell,3456
18-02-2019,YESBANK.NS,Open,Buy,3614
18-02-2019,YESBANK.NS,Close,Sell,3614
26-02-2019,TATAMOTORS.NS,Open,Buy,4238
26-02-2019,TATAMOTORS.NS,Close,Sell,4238
01-03-2019,SAIL.BO,Open,Buy,15008
01-03-2019,SAIL.BO,Close,Sell,15008
05-03-2019,TATAMOTORS.NS,Open,Buy,4064
05-03-2019,TATAMOTORS.NS,Close,Sell,4064
11-03-2019,BHARTIARTL.NS,Open,Buy,2640
11-03-2019,BHARTIARTL.NS,Close,Sell,2640
12-03-2019,BHARTIARTL.NS,Open,Buy,2516
12-03-2019,BHARTIARTL.NS,Close,Sell,2516
27-03-2019,JSWENERGY.BO,Open,Buy,11869
27-03-2019,JSWENERGY.BO,Close,Sell,11869
28-03-2019,SAIL.BO,Close,Buy,15325
01-04-2019,SAIL.BO,Open,Sell,15325
01-04-2019,TATAMOTORS.NS,Open,Buy,4515
01-04-2019,TATAMOTORS.NS,Close,Sell,4515
02-04-2019,TATAMOTORS.NS,Open,Buy,4274
02-04-2019,TATAMOTORS.NS,Close,Sell,4274
15-04-2019,TATAMOTORS.NS,Open,Buy,3794
15-04-2019,TATAMOTORS.NS,Close,Sell,3794
02-05-2019,YESBANK.NS,Open,Buy,5157
02-05-2019,YESBANK.NS,Close,Sell,5157
09-05-2019,YESBANK.NS,Open,Buy,5387
09-05-2019,YESBANK.NS,Close,Sell,5387
14-05-2019,BHARTIARTL.NS,Open,Buy,2758
14-05-2019,BHARTIARTL.NS,Close,Sell,2758
17-05-2019,YESBANK.NS,Close,Buy,6575
20-05-2019,YESBANK.NS,Open,Sell,6575
24-05-2019,JSWENERGY.BO,Open,Buy,13365
24-05-2019,JSWENERGY.BO,Close,Sell,13365
20-06-2019,YESBANK.NS,Open,Buy,8937
20-06-2019,YESBANK.NS,Close,Sell,8937
08-07-2019,YESBANK.NS,Open,Buy,11179
08-07-2019,YESBANK.NS,Close,Sell,11179
16-07-2019,YESBANK.NS,Open,Buy,10524
16-07-2019,YESBANK.NS,Close,Sell,10524
22-07-2019,YESBANK.NS,Open,Buy,12464
22-07-2019,YESBANK.NS,Close,Sell,12464
26-07-2019,YESBANK.NS,Open,Buy,12161
26-07-2019,YESBANK.NS,Close,Sell,12161
31-07-2019,YESBANK.NS,Open,Buy,12903
31-07-2019,YESBANK.NS,Close,Sell,12903
06-08-2019,YESBANK.NS,Open,Buy,13819
06-08-2019,YESBANK.NS,Close,Sell,13819
09-08-2019,LAURUSLABS.NS,Open,Buy,17502
09-08-2019,LAURUSLABS.NS,Close,Sell,17502
09-08-2019,RELIANCE.NS,Close,Buy,987
